main_category,subcategory,title,author,url
Education & Reference,Teaching & Education,Self Knowledge and Guide to Sex Instruction: Vital Facts of Life for All Ages,Thomas W. Shannon,https://www.gutenberg.org/ebooks/47947
Education & Reference,Teaching & Education,Sex-education,Maurice A. Bigelow,https://www.gutenberg.org/ebooks/31352
Education & Reference,Teaching & Education,Confidential Chats with Girls,William Lee Howard,https://www.gutenberg.org/ebooks/57551
Education & Reference,Teaching & Education,Helps to Latin Translation at Sight,Edmund Luce,https://www.gutenberg.org/ebooks/28890
Education & Reference,Teaching & Education,The Sexual Life of the Child,Albert Moll,https://www.gutenberg.org/ebooks/28402
Education & Reference,Teaching & Education,"Sex in Education; or, A Fair Chance for Girls",Edward H. Clarke,https://www.gutenberg.org/ebooks/18504
Education & Reference,Teaching & Education,Heath's Modern Language Series: The Spanish American Reader (Spanish),Ernesto Nelson,https://www.gutenberg.org/ebooks/39647
Education & Reference,Teaching & Education,The reader's guide to the Encyclopaedia Britannica : A handbook containing sixty-six courses of systematic study or occasional reading,Inc. Encyclopaedia Britannica,https://www.gutenberg.org/ebooks/74039
Education & Reference,Teaching & Education,1001 задача для умственного счета (Russian),Sergei Aleksandrovich Rachinskii,https://www.gutenberg.org/ebooks/16527
Education & Reference,Teaching & Education,How We Think,John Dewey,https://www.gutenberg.org/ebooks/37423
Education & Reference,Teaching & Education,McGuffey's Fourth Eclectic Reader,William Holmes McGuffey,https://www.gutenberg.org/ebooks/14880
Education & Reference,Teaching & Education,Types of News Writing,Willard Grosvenor Bleyer,https://www.gutenberg.org/ebooks/59606
Education & Reference,Teaching & Education,A First Spanish Reader (Spanish),Erwin W. Roessler and Alfred Remy,https://www.gutenberg.org/ebooks/15353
Education & Reference,Teaching & Education,Democracy and Education: An Introduction to the Philosophy of Education,John Dewey,https://www.gutenberg.org/ebooks/852
Education & Reference,Teaching & Education,Household Education,Harriet Martineau,https://www.gutenberg.org/ebooks/38179
Education & Reference,Teaching & Education,Emile,Jean-Jacques Rousseau,https://www.gutenberg.org/ebooks/5427
Education & Reference,Teaching & Education,Latin for Beginners,Benjamin L. D'Ooge,https://www.gutenberg.org/ebooks/18251
Education & Reference,Teaching & Education,"Letters to His Son, Complete",Earl of Philip Dormer Stanhope Chesterfield,https://www.gutenberg.org/ebooks/3361
Education & Reference,Teaching & Education,The Idea of a University Defined and Illustrated,John Henry Newman,https://www.gutenberg.org/ebooks/24526
Education & Reference,Teaching & Education,The Orbis Pictus,Johann Amos Comenius,https://www.gutenberg.org/ebooks/28299
History,History - European,Society as I Have Found It,Ward McAllister,https://www.gutenberg.org/ebooks/55300
History,History - European,Der Marquis de Sade und seine Zeit. (German),Iwan Bloch,https://www.gutenberg.org/ebooks/68400
History,History - European,The Wars of Religion in France 1559-1576,James Westfall Thompson,https://www.gutenberg.org/ebooks/49266
History,History - European,"The History of Cuba, vol. 2",Willis Fletcher Johnson,https://www.gutenberg.org/ebooks/37676
History,History - European,The History of the Decline and Fall of the Roman Empire,Edward Gibbon,https://www.gutenberg.org/ebooks/25717
History,History - European,Legends of the Bastille,Frantz Funck-Brentano,https://www.gutenberg.org/ebooks/43231
History,History - European,"Napoleon's Letters to Josephine, 1796-1812",Emperor of the French Napoleon I,https://www.gutenberg.org/ebooks/37499
History,History - European,"A history of the Peninsular War, Vol. 3, Sep. 1809-Dec. 1810 : Ocaña, Cadiz, Bussaco, Torres Vedras",Charles Oman,https://www.gutenberg.org/ebooks/55231
History,History - European,"Die Deutschen Familiennamen, geschichtlich, geographisch, sprachlich (German)",Albert Heintze,https://www.gutenberg.org/ebooks/58804
History,History - European,How France Built Her Cathedrals: A Study in the Twelfth and Thirteenth Centuries,Elizabeth Boyle O'Reilly,https://www.gutenberg.org/ebooks/41687
History,History - European,Walks in Rome,Augustus J. C. Hare,https://www.gutenberg.org/ebooks/39308
History,History - European,Historic Paris,Jetta Sophia Wolff,https://www.gutenberg.org/ebooks/42722
History,History - European,A History of the Inquisition of Spain; vol. 1,Henry Charles Lea,https://www.gutenberg.org/ebooks/43296
History,History - European,The Criminal Prosecution and Capital Punishment of Animals,E. P. Evans,https://www.gutenberg.org/ebooks/43286
History,History - European,"Encyclopaedia Britannica, 11th Edition, ""Bohemia"" to ""Borgia, Francis""",Various,https://www.gutenberg.org/ebooks/33614
History,History - European,"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1 (of 2)",Bernal Díaz del Castillo,https://www.gutenberg.org/ebooks/32474
History,History - European,Christopher Columbus and How He Received and Imparted the Spirit of Discovery,Justin Winsor,https://www.gutenberg.org/ebooks/42059
History,History - European,"The war drama of the Eagles : Napoleon's standard-bearers on the battlefield in victory and defeat from Austerlitz to Waterloo, a record of hard fighting, heroism, and adventure",Edward Fraser,https://www.gutenberg.org/ebooks/75293
History,History - European,The Story of Paris,Thomas Okey,https://www.gutenberg.org/ebooks/26450
History,History - European,"A Popular History of France from the Earliest Times, Volume 5",François Guizot,https://www.gutenberg.org/ebooks/11955
History,History - Ancient,Lysistrata,Aristophanes,https://www.gutenberg.org/ebooks/7700
History,History - Ancient,The Iliad,Homer,https://www.gutenberg.org/ebooks/2199
History,History - Ancient,The Art of War,active 6th century B.C. Sunzi,https://www.gutenberg.org/ebooks/132
History,History - Ancient,"The History of Prostitution: Its Extent, Causes, and Effects throughout the World",William W. Sanger,https://www.gutenberg.org/ebooks/41873
History,History - Ancient,Antiquities of the Jews,Flavius Josephus,https://www.gutenberg.org/ebooks/2848
History,History - Ancient,The History of the Peloponnesian War,Thucydides,https://www.gutenberg.org/ebooks/7142
History,History - Ancient,Phallic Worship,Hargrave Jennings,https://www.gutenberg.org/ebooks/67969
History,History - Ancient,Religion and Lust,Jr. James Weir,https://www.gutenberg.org/ebooks/26071
History,History - Ancient,A History of Greek Economic Thought,Albert Augustus Trever,https://www.gutenberg.org/ebooks/58204
History,History - Ancient,A Problem in Greek Ethics,John Addington Symonds,https://www.gutenberg.org/ebooks/32022
History,History - Ancient,The History of Herodotus — Volume 1,Herodotus,https://www.gutenberg.org/ebooks/2707
History,History - Ancient,Cookery and Dining in Imperial Rome,Apicius,https://www.gutenberg.org/ebooks/29728
History,History - Ancient,The Egyptian Book of the dead,,https://www.gutenberg.org/ebooks/69566
History,History - Ancient,"The Wars of the Jews; Or, The History of the Destruction of Jerusalem",Flavius Josephus,https://www.gutenberg.org/ebooks/2850
History,History - Ancient,"Mexico, Aztec, Spanish and Republican, Vol. 1 of 2",Brantz Mayer,https://www.gutenberg.org/ebooks/37887
History,History - Ancient,"The Anabasis of Alexander : or, The history of the wars and conquests of Alexander the Great",Arrian,https://www.gutenberg.org/ebooks/46976
History,History - Ancient,Anabasis,Xenophon,https://www.gutenberg.org/ebooks/1170
History,History - Ancient,"The Lives of the Twelve Caesars, Complete",Suetonius,https://www.gutenberg.org/ebooks/6400
History,History - Ancient,Ancient Pagan and Modern Christian Symbolism,Thomas Inman and M.R.C.S.E. John Newton,https://www.gutenberg.org/ebooks/38485
History,History - Ancient,The travels of Pedro de Cieza de Léon; part 2,Pedro de Cieza de León,https://www.gutenberg.org/ebooks/48785
Arts & Culture,Music,My Life — Volume 1,Richard Wagner,https://www.gutenberg.org/ebooks/5197
Arts & Culture,Music,How to sing [Meine Gesangskunst],Lilli Lehmann,https://www.gutenberg.org/ebooks/19116
Arts & Culture,Music,"The art of music, Vol. 06 (of 14) : Choral and church music",Rossetter G. Cole,https://www.gutenberg.org/ebooks/76594
Arts & Culture,Music,The Letters of Wolfgang Amadeus Mozart — Volume 01,Wolfgang Amadeus Mozart,https://www.gutenberg.org/ebooks/5307
Arts & Culture,Music,"Frederick Chopin, as a Man and Musician — Complete",Frederick Niecks,https://www.gutenberg.org/ebooks/4973
Arts & Culture,Music,"The London Mercury, Vol. I, Nos. 1-6, November 1919 to April 1920",Various,https://www.gutenberg.org/ebooks/45116
Arts & Culture,Music,"Principles of Orchestration, with Musical Examples Drawn from His Own Works",Nikolay Rimsky-Korsakov,https://www.gutenberg.org/ebooks/33900
Arts & Culture,Music,"Encyclopaedia Britannica, 11th Edition, ""Harmony"" to ""Heanor""",Various,https://www.gutenberg.org/ebooks/39632
Arts & Culture,Music,Handbook to the Mennonite Hymnary,Lester Hostetler,https://www.gutenberg.org/ebooks/54966
Arts & Culture,Music,"How music grew, from prehistoric times to the present day",Ethel R. Peyser and Marion Bauer,https://www.gutenberg.org/ebooks/72171
Arts & Culture,Music,The liberty minstrel,George Washington Clark,https://www.gutenberg.org/ebooks/22089
Arts & Culture,Music,The Latin Hymn-writers and Their Hymns,Samuel Willoughby Duffield,https://www.gutenberg.org/ebooks/54903
Arts & Culture,Music,"The Standard Cantatas: Their Stories, Their Music, and Their Composers",George P. Upton,https://www.gutenberg.org/ebooks/32248
Arts & Culture,Music,The Lighter Classics in Music,David Ewen,https://www.gutenberg.org/ebooks/66346
Arts & Culture,Music,My Musical Life,Walter Damrosch,https://www.gutenberg.org/ebooks/58871
Arts & Culture,Music,A Complete History of Music,W. J. Baltzell,https://www.gutenberg.org/ebooks/54392
Arts & Culture,Music,"The art of music, Vol. 04 (of 14) : Music in America",,https://www.gutenberg.org/ebooks/72599
Arts & Culture,Music,The Complete Plays of Gilbert and Sullivan,W. S. Gilbert and Arthur Sullivan,https://www.gutenberg.org/ebooks/808
Arts & Culture,Music,"The Life of Ludwig van Beethoven, Volume I",Alexander Wheelock Thayer,https://www.gutenberg.org/ebooks/43591
Arts & Culture,Music,Contemporary American Composers,Rupert Hughes,https://www.gutenberg.org/ebooks/23800
Literature,American Literature,"Moby Dick; Or, The Whale",Herman Melville,https://www.gutenberg.org/ebooks/2701
Literature,American Literature,"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,https://www.gutenberg.org/ebooks/37106
Literature,American Literature,"The Mysterious Stranger, and Other Stories",Mark Twain,https://www.gutenberg.org/ebooks/3186
Literature,American Literature,"The Adventures of Tom Sawyer, Complete",Mark Twain,https://www.gutenberg.org/ebooks/74
Literature,American Literature,The Eyes Have It,Philip K. Dick,https://www.gutenberg.org/ebooks/31516
Literature,American Literature,"Eve's Diary, Complete",Mark Twain,https://www.gutenberg.org/ebooks/8525
Literature,American Literature,The call of the wild,Jack London,https://www.gutenberg.org/ebooks/215
Literature,American Literature,The Great Gatsby,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/64317
Literature,American Literature,Sketches New and Old,Mark Twain,https://www.gutenberg.org/ebooks/3189
Literature,American Literature,Anthem,Ayn Rand,https://www.gutenberg.org/ebooks/1250
Literature,American Literature,2 B R 0 2 B,Kurt Vonnegut,https://www.gutenberg.org/ebooks/21279
Literature,American Literature,The Yellow Wallpaper,Charlotte Perkins Gilman,https://www.gutenberg.org/ebooks/1952
Literature,American Literature,The Beautiful and Damned,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/9830
Literature,American Literature,Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/ebooks/76
Literature,American Literature,The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,https://www.gutenberg.org/ebooks/2147
Literature,American Literature,Rip Van Winkle,Washington Irving,https://www.gutenberg.org/ebooks/60976
Literature,American Literature,The Gift of the Magi,O. Henry,https://www.gutenberg.org/ebooks/7256
Literature,American Literature,A Connecticut Yankee in King Arthur's Court,Mark Twain,https://www.gutenberg.org/ebooks/86
Literature,American Literature,Plays,Susan Glaspell,https://www.gutenberg.org/ebooks/10623
Literature,American Literature,The Best American Humorous Short Stories,,https://www.gutenberg.org/ebooks/10947
Science & Technology,Engineering & Technology,A short history of the printing press and of the improvements in printing machinery from the time of Gutenberg up to the present day,Robert Hoe,https://www.gutenberg.org/ebooks/63545
Science & Technology,Engineering & Technology,The Online World,Odd De Presno,https://www.gutenberg.org/ebooks/80
Science & Technology,Engineering & Technology,How it Works,Archibald Williams,https://www.gutenberg.org/ebooks/28553
Science & Technology,Engineering & Technology,The Notebooks of Leonardo Da Vinci — Complete,da Vinci Leonardo,https://www.gutenberg.org/ebooks/5000
Science & Technology,Engineering & Technology,Woodworking Tools 1600-1900,Peter C. Welsh,https://www.gutenberg.org/ebooks/27238
Science & Technology,Engineering & Technology,"De Re Metallica, Translated from the First Latin Edition of 1556",Georg Agricola,https://www.gutenberg.org/ebooks/38015
Science & Technology,Engineering & Technology,"The book of wonders : gives plain and simple answers to the thousands of everyday questions that are asked and which all should be able to, but cannot answer...",,https://www.gutenberg.org/ebooks/75948
Science & Technology,Engineering & Technology,Jane's All the World's Aircraft. 1913,,https://www.gutenberg.org/ebooks/34815
Science & Technology,Engineering & Technology,"Scientific American, Vol. XXXVII.—No. 2. [New Series.], July 14, 1877",Various,https://www.gutenberg.org/ebooks/38481
Science & Technology,Engineering & Technology,Soap-Making Manual,Edgar George Thomssen,https://www.gutenberg.org/ebooks/34114
Science & Technology,Engineering & Technology,Steam-ships : The story of their development to the present day,R. A. Fletcher,https://www.gutenberg.org/ebooks/72847
Science & Technology,Engineering & Technology,The Progress of Invention in the Nineteenth Century.,Edward W. Byrn,https://www.gutenberg.org/ebooks/41538
Science & Technology,Engineering & Technology,"The inventions, researches and writings of Nikola Tesla",Thomas Commerford Martin,https://www.gutenberg.org/ebooks/39272
Science & Technology,Engineering & Technology,The Manufacture of Paper,R. W. Sindall,https://www.gutenberg.org/ebooks/46449
Science & Technology,Engineering & Technology,The Boy Electrician,Alfred Powell Morgan,https://www.gutenberg.org/ebooks/63207
Science & Technology,Engineering & Technology,"Encyclopaedia Britannica, 11th Edition, ""Destructors"" to ""Diameter""",Various,https://www.gutenberg.org/ebooks/30073
Science & Technology,Engineering & Technology,The Silicon Jungle,David H. Rothman,https://www.gutenberg.org/ebooks/54360
Science & Technology,Engineering & Technology,The history of steam navigation,John Kennedy,https://www.gutenberg.org/ebooks/70176
Science & Technology,Engineering & Technology,Inventions in the Century,William Henry Doolittle,https://www.gutenberg.org/ebooks/36776
Science & Technology,Engineering & Technology,Computers—the machines we think with,D. S. Halacy,https://www.gutenberg.org/ebooks/72572
Health & Medicine,Drugs/Alcohol/Pharmacology,"Beer, its history and its economic value as a national beverage",F. W. Salem,https://www.gutenberg.org/ebooks/76262
Health & Medicine,Drugs/Alcohol/Pharmacology,Tobacco Leaves: Being a Book of Facts for Smokers,William Augustine Brennan,https://www.gutenberg.org/ebooks/37388
Health & Medicine,Drugs/Alcohol/Pharmacology,Confessions of an English Opium-Eater,Thomas De Quincey,https://www.gutenberg.org/ebooks/2040
Health & Medicine,Drugs/Alcohol/Pharmacology,Merck's 1899 Manual of the Materia Medica,Merck & Co.,https://www.gutenberg.org/ebooks/41697
Health & Medicine,Drugs/Alcohol/Pharmacology,Pharmacographia,Friedrich A. Flückiger and Daniel Hanbury,https://www.gutenberg.org/ebooks/67691
Health & Medicine,Drugs/Alcohol/Pharmacology,The Mystery and Romance of Alchemy and Pharmacy,C. J. S. Thompson,https://www.gutenberg.org/ebooks/47004
Health & Medicine,Drugs/Alcohol/Pharmacology,Herbal Simples Approved for Modern Uses of Cure,William Thomas Fernie,https://www.gutenberg.org/ebooks/19352
Health & Medicine,Drugs/Alcohol/Pharmacology,The Opium Monopoly,Ellen N. La Motte,https://www.gutenberg.org/ebooks/33479
Health & Medicine,Drugs/Alcohol/Pharmacology,The Great American Fraud,Samuel Hopkins Adams,https://www.gutenberg.org/ebooks/44325
Health & Medicine,Drugs/Alcohol/Pharmacology,The Seven Sisters of Sleep,M. C. Cooke,https://www.gutenberg.org/ebooks/60805
Health & Medicine,Drugs/Alcohol/Pharmacology,"Poisons, Their Effects and Detection",Alexander Wynter Blyth,https://www.gutenberg.org/ebooks/42709
Health & Medicine,Drugs/Alcohol/Pharmacology,Some Constituents of the Poison Ivy Plant (Rhus Toxicodendron),William Anderson Syme,https://www.gutenberg.org/ebooks/34510
Health & Medicine,Drugs/Alcohol/Pharmacology,"Fools of Fortune; or, Gambling and Gamblers",John Philip Quinn,https://www.gutenberg.org/ebooks/58280
Health & Medicine,Drugs/Alcohol/Pharmacology,"Chronicles of Pharmacy, Vol. 2 (of 2)",A. C. Wootton,https://www.gutenberg.org/ebooks/67414
Health & Medicine,Drugs/Alcohol/Pharmacology,"Nicotiana; Or, The Smoker's and Snuff-Taker's Companion",Henry James Meller,https://www.gutenberg.org/ebooks/36879
Health & Medicine,Drugs/Alcohol/Pharmacology,"Alcohol: A Dangerous and Unnecessary Medicine, How and Why",Martha Meir Allen,https://www.gutenberg.org/ebooks/26774
Health & Medicine,Drugs/Alcohol/Pharmacology,"Chronicles of Pharmacy, Vol. 1 (of 2)",A. C. Wootton,https://www.gutenberg.org/ebooks/65872
Health & Medicine,Drugs/Alcohol/Pharmacology,"The Plague of Lust, Vol. 2 (of 2)",Julius Rosenbaum,https://www.gutenberg.org/ebooks/63246
Health & Medicine,Drugs/Alcohol/Pharmacology,A Practical Handbook on the Distillation of Alcohol from Farm Products,F. B. Wright,https://www.gutenberg.org/ebooks/46377
Health & Medicine,Drugs/Alcohol/Pharmacology,Epitome of the Pharmacopeia of the United States and the National Formulary,"Albion Walter Hewlett, Torald Hermann Sollmann, Martin I. Wilbert, and William August Puckner",https://www.gutenberg.org/ebooks/41778
Arts & Culture,"Essays, Letters & Speeches",The Expedition of Humphry Clinker,T. Smollett,https://www.gutenberg.org/ebooks/2160
Arts & Culture,"Essays, Letters & Speeches",A Modest Proposal,Jonathan Swift,https://www.gutenberg.org/ebooks/1080
Arts & Culture,"Essays, Letters & Speeches",Laughter: An Essay on the Meaning of the Comic,Henri Bergson,https://www.gutenberg.org/ebooks/4352
Arts & Culture,"Essays, Letters & Speeches","Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,https://www.gutenberg.org/ebooks/205
Arts & Culture,"Essays, Letters & Speeches",Mémoires de Miss Coote: Exploits d'une fouetteuse britannique racontés par elle-même (French),Rosa Belinda Coote,https://www.gutenberg.org/ebooks/64830
Arts & Culture,"Essays, Letters & Speeches","The Battle of the Books, and other Short Pieces",Jonathan Swift,https://www.gutenberg.org/ebooks/623
Arts & Culture,"Essays, Letters & Speeches",De Profundis,Oscar Wilde,https://www.gutenberg.org/ebooks/921
Arts & Culture,"Essays, Letters & Speeches",The Souls of Black Folk,W. E. B. Du Bois,https://www.gutenberg.org/ebooks/408
Arts & Culture,"Essays, Letters & Speeches","The Works of Edgar Allan Poe, The Raven Edition",Edgar Allan Poe,https://www.gutenberg.org/ebooks/25525
Arts & Culture,"Essays, Letters & Speeches",Plutarch's Morals,Plutarch,https://www.gutenberg.org/ebooks/23639
Arts & Culture,"Essays, Letters & Speeches",The Subjection of Women,John Stuart Mill,https://www.gutenberg.org/ebooks/27083
Arts & Culture,"Essays, Letters & Speeches",A Vindication of the Rights of Woman,Mary Wollstonecraft,https://www.gutenberg.org/ebooks/3420
Arts & Culture,"Essays, Letters & Speeches",Woman in the Nineteenth Century,Margaret Fuller,https://www.gutenberg.org/ebooks/8642
Arts & Culture,"Essays, Letters & Speeches",In Defense of Women,H. L. Mencken,https://www.gutenberg.org/ebooks/1270
Arts & Culture,"Essays, Letters & Speeches",Anarchism and Other Essays,Emma Goldman,https://www.gutenberg.org/ebooks/2162
Arts & Culture,"Essays, Letters & Speeches","Writings in the United Amateur, 1915-1922",H. P. Lovecraft,https://www.gutenberg.org/ebooks/30637
Arts & Culture,"Essays, Letters & Speeches",Selected Works of Voltairine de Cleyre,Voltairine De Cleyre,https://www.gutenberg.org/ebooks/43098
Arts & Culture,"Essays, Letters & Speeches",The Authoress of the Odyssey,Samuel Butler,https://www.gutenberg.org/ebooks/49324
Arts & Culture,"Essays, Letters & Speeches",The Erotic Motive in Literature,Albert Mordell,https://www.gutenberg.org/ebooks/56779
Arts & Culture,"Essays, Letters & Speeches","A serious proposal to the Ladies, for the advancement of their true and greatest interest (In Two Parts)",Mary Astell,https://www.gutenberg.org/ebooks/54984
Arts & Culture,Architecture,"St. John's College, Cambridge",Robert Forsyth Scott,https://www.gutenberg.org/ebooks/27320
